Metagenome	Run	Habitat
Air	SRR6399705	Other
Air	SRR6399709	Other
Air	SRR6399710	Other
Air	SRR6399711	Other
Air	SRR6399712	Other
Air	SRR6399729	Other
Air	SRR6399730	Other
Air	SRR6399731	Other
Air	SRR6399732	Other
Air	SRR6399733	Other
Air	SRR6399734	Other
Air	SRR6399735	Other
Air	SRR6399736	Other
Air	SRR6399737	Other
Air	SRR6399738	Other
Air	SRR6399739	Other
Air	SRR6399740	Other
Air	SRR6399741	Other
Air	SRR6399742	Other
Air	SRR6399743	Other
Air	SRR6399744	Other
Air	SRR6399755	Other
Air	SRR6399756	Other
Air	SRR6399757	Other
Air	SRR6399758	Other
Air	SRR6399759	Other
Air	SRR6399760	Other
Air	SRR6399761	Other
Air	SRR6399762	Other
Air	SRR6399763	Other
Air	SRR6399764	Other
Air	SRR6399765	Other
Air	SRR6399766	Other
Air	SRR6399767	Other
Air	SRR6399778	Other
Air	SRR6399779	Other
Air	SRR6399781	Other
Air	SRR6399782	Other
Air	SRR6399784	Other
Air	SRR6399785	Other
Air	SRR6399790	Other
Air	SRR6399791	Other
Air	SRR6399792	Other
Air	SRR6399793	Other
Air	SRR6399794	Other
Air	SRR6399795	Other
Air	SRR6399814	Other
Air	SRR6399815	Other
Air	SRR6399817	Other
Air	SRR6399818	Other
Air	SRR6399819	Other
Air	SRR6399820	Other
Air	SRR6399821	Other
Air	SRR6399822	Other
Air	SRR6399823	Other
Air	SRR6399824	Other
Air	SRR6399825	Other
Air	SRR6399826	Other
Air	SRR6399827	Other
Air	SRR6399828	Other
Air	SRR6399829	Other
Air	SRR6399830	Other
Air	SRR6399831	Other
Air	SRR6399832	Other
Air	SRR6399833	Other
Air	SRR6399834	Other
Air	SRR6399835	Other
Air	SRR6399836	Other
Air	SRR6399837	Other
Air	SRR6399838	Other
Air	SRR6399839	Other
Air	SRR6399840	Other
Air	SRR6399841	Other
Air	SRR6399842	Other
Air	SRR6399843	Other
Air	SRR6399844	Other
Air	SRR6399845	Other
Air	SRR6399846	Other
Air	SRR6399847	Other
Air	SRR6399848	Other
Air	SRR6399849	Other
Air	SRR6399850	Other
Air	SRR6399851	Other
Air	SRR6399852	Other
Air	SRR6399853	Other
Air	SRR6399854	Other
Air	SRR6399865	Other
Air	SRR6399866	Other
Air	SRR6399867	Other
Air	SRR6399868	Other
Air	SRR6399889	Other
Air	SRR6399890	Other
Air	SRR6399891	Other
Air	SRR6399892	Other
Air	SRR6399893	Other
Air	SRR6399894	Other
Air	SRR6399895	Other
Air	SRR6399896	Other
Air	SRR6399897	Other
Air	SRR6399898	Other
Air	SRR6399899	Other
Air	SRR6399900	Other
Air	SRR6399901	Other
Air	SRR6399902	Other
Air	SRR6399903	Other
Air	SRR6399904	Other
Air	SRR6399905	Other
Air	SRR6399906	Other
Air	SRR6399907	Other
Air	SRR6399908	Other
Air	SRR6399909	Other
Air	SRR6399910	Other
Air	SRR6399911	Other
Air	SRR6399912	Other
Air	SRR6399913	Other
Air	SRR6399914	Other
Air	SRR6399941	Other
Air	SRR6399942	Other
Air	SRR6399943	Other
Air	SRR6399960	Other
Air	SRR6399961	Other
Air	SRR6399962	Other
Air	SRR6399963	Other
Air	SRR6399964	Other
Air	SRR6399965	Other
Air	SRR6399966	Other
Air	SRR6399967	Other
Air	SRR6399968	Other
Air	SRR6399969	Other
Air	SRR6399970	Other
Air	SRR6399971	Other
Air	SRR6399975	Other
Air	SRR6399976	Other
Air	SRR6399978	Other
Air	SRR6399979	Other
Air	SRR6399980	Other
Air	SRR6399981	Other
Air	SRR6399982	Other
Air	SRR6399983	Other
Air	SRR6399984	Other
Air	SRR6399985	Other
Air	SRR6399996	Other
Air	SRR6399997	Other
Air	SRR6399998	Other
Air	SRR6399999	Other
Air	SRR6400000	Other
Air	SRR6400001	Other
Air	SRR6400002	Other
Air	SRR6400003	Other
Air	SRR6400004	Other
Air	SRR6400005	Other
Air	SRR6400006	Other
Air	SRR6400007	Other
Air	SRR6400008	Other
Air	SRR6400009	Other
Air	SRR6400020	Other
Air	SRR6400021	Other
Alkali_sediment	SRR7083928	Soil
Anaerobic_digester	ERR3170070	Host_microbe
Anaerobic_digester	ERR3170071	Host_microbe
Anaerobic_digester	ERR3170072	Host_microbe
Anaerobic_digester	ERR3170073	Host_microbe
Anaerobic_digester	ERR3170074	Host_microbe
Anaerobic_digester	ERR3170075	Host_microbe
Anaerobic_digester	ERR3170076	Host_microbe
Anaerobic_digester	ERR3170077	Host_microbe
Anaerobic_digester	ERR3170078	Host_microbe
Anaerobic_digester	ERR3170079	Host_microbe
Anaerobic_digester	ERR3170080	Host_microbe
Anaerobic_digester	ERR3170081	Host_microbe
Anaerobic_digester	ERR3170082	Host_microbe
Anaerobic_digester	ERR3170083	Host_microbe
Anaerobic_digester	ERR3170084	Host_microbe
Anaerobic_digester	ERR3170085	Host_microbe
Anaerobic_digester	ERR3170086	Host_microbe
Anaerobic_digester	ERR3170087	Host_microbe
Anaerobic_digester	ERR3170088	Host_microbe
Anaerobic_digester	ERR3170089	Host_microbe
Anaerobic_digester	ERR3170090	Host_microbe
Anaerobic_digester	ERR3170091	Host_microbe
Anaerobic_digester	ERR3170092	Host_microbe
Anaerobic_digester	ERR3170093	Host_microbe
Anaerobic_digester	ERR3170094	Host_microbe
Anaerobic_digester	ERR3170095	Host_microbe
Anaerobic_digester	ERR3170096	Host_microbe
Anaerobic_digester	ERR3170097	Host_microbe
Anaerobic_digester	ERR3170098	Host_microbe
Anaerobic_digester	ERR3170099	Host_microbe
Anaerobic_digester	SRR10988193	Host_microbe
Anaerobic_digester	SRR10988194	Host_microbe
Anaerobic_digester	SRR10988195	Host_microbe
Anaerobic_digester	SRR10988196	Host_microbe
Anaerobic_digester	SRR10988197	Host_microbe
Anaerobic_digester	SRR10988198	Host_microbe
Anaerobic_digester	SRR10988199	Host_microbe
Anaerobic_digester	SRR10988200	Host_microbe
Anaerobic_digester	SRR10988201	Host_microbe
Anaerobic_digester	SRR10988319	Host_microbe
Anaerobic_digester	SRR10988320	Host_microbe
Anaerobic_digester	SRR10988321	Host_microbe
Anaerobic_digester	SRR10988322	Host_microbe
Anaerobic_digester	SRR10988323	Host_microbe
Anaerobic_digester	SRR10988324	Host_microbe
Anaerobic_digester	SRR2000208	Host_microbe
Anaerobic_digester	SRR2244230	Host_microbe
Anaerobic_digester	SRR2244283	Host_microbe
Anaerobic_digester	SRR3107267	Host_microbe
Anaerobic_digester	SRR3107268	Host_microbe
Anaerobic_digester	SRR3107269	Host_microbe
Anaerobic_digester	SRR3107270	Host_microbe
Anaerobic_digester	SRR3107271	Host_microbe
Anaerobic_digester	SRR3107272	Host_microbe
Anaerobic_digester	SRR5947148	Host_microbe
Anaerobic_digester	SRR5947149	Host_microbe
Anaerobic_digester	SRR5947150	Host_microbe
Anaerobic_digester	SRR5947151	Host_microbe
Anaerobic_digester	SRR5947152	Host_microbe
Anaerobic_digester	SRR5947153	Host_microbe
Anaerobic_digester	SRR5947154	Host_microbe
Anaerobic_digester	SRR5947155	Host_microbe
Anaerobic_digester	SRR5947156	Host_microbe
Anaerobic_digester	SRR6032606	Host_microbe
Anaerobic_digester	SRR6032608	Host_microbe
Anaerobic_digester	SRR6032650	Host_microbe
Anaerobic_digester	SRR6032651	Host_microbe
Anaerobic_digester	SRR6032680	Host_microbe
Anaerobic_digester	SRR6032681	Host_microbe
Anaerobic_digester	SRR6032682	Host_microbe
Anaerobic_digester	SRR6032683	Host_microbe
Anaerobic_digester	SRR6032684	Host_microbe
Anaerobic_digester	SRR6032685	Host_microbe
Anaerobic_digester	SRR6032686	Host_microbe
Anaerobic_digester	SRR6032687	Host_microbe
Anaerobic_digester	SRR6666466	Host_microbe
Anaerobic_digester	SRR6666467	Host_microbe
Anaerobic_digester	SRR8959045	Host_microbe
Anaerobic_digester	SRR8959046	Host_microbe
Anaerobic_digester	SRR8959047	Host_microbe
Anaerobic_digester	SRR8959048	Host_microbe
Anaerobic_digester	SRR8959051	Host_microbe
Anaerobic_digester	SRR8959054	Host_microbe
Anaerobic_digester	SRR8959055	Host_microbe
Anaerobic_digester	SRR8959056	Host_microbe
Anaerobic_digester	SRR8959057	Host_microbe
Anaerobic_digester	SRR8959058	Host_microbe
Anaerobic_digester	SRR8959059	Host_microbe
Anaerobic_digester	SRR8959060	Host_microbe
Anaerobic_digester	SRR8959061	Host_microbe
Ant_fungus_garden	SRR10132758	Host_microbe
Ant_fungus_garden	SRR10132759	Host_microbe
Ant_fungus_garden	SRR10132760	Host_microbe
Aquatic	ERR198704	Aquatic
Aquatic	ERR198705	Aquatic
Aquatic	ERR198706	Aquatic
Aquatic	ERR198707	Aquatic
Aquatic	ERR2497747	Aquatic
Aquatic	ERR2497748	Aquatic
Aquatic	ERR2497749	Aquatic
Aquatic	ERR2497750	Aquatic
Aquatic	ERR2497751	Aquatic
Aquatic	ERR2497752	Aquatic
Aquatic	ERR2497753	Aquatic
Aquatic	ERR2497754	Aquatic
Aquatic	ERR2497755	Aquatic
Aquatic	ERR2497756	Aquatic
Aquatic	ERR2497757	Aquatic
Aquatic	ERR2497758	Aquatic
Aquatic	ERR2497759	Aquatic
Aquatic	ERR2497760	Aquatic
Aquatic	ERR2497761	Aquatic
Aquatic	ERR2497762	Aquatic
Aquatic	ERR2497763	Aquatic
Aquatic	ERR2497764	Aquatic
Aquatic	ERR2497765	Aquatic
Aquatic	ERR2497766	Aquatic
Aquatic	ERR2497767	Aquatic
Aquatic	ERR2497768	Aquatic
Aquatic	ERR2497769	Aquatic
Aquatic	ERR2497770	Aquatic
Aquatic	ERR2497771	Aquatic
Aquatic	ERR2497772	Aquatic
Aquatic	ERR2497773	Aquatic
Aquatic	ERR2497774	Aquatic
Aquatic	ERR2497775	Aquatic
Aquatic	ERR2497776	Aquatic
Aquatic	ERR2497777	Aquatic
Aquatic	ERR2497778	Aquatic
Aquatic	ERR2497779	Aquatic
Aquatic	ERR2497780	Aquatic
Aquatic	ERR2497781	Aquatic
Aquatic	ERR2497782	Aquatic
Aquatic	ERR2497783	Aquatic
Aquatic	ERR2497784	Aquatic
